# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
4000 2496
1 -3.85455 9.99894 0
2 -0.332731 10.3164 0
3 3.16962 10.0692 0
4 6.68929 10.4081 0
5 10.237 10.1688 0
6 13.7859 10.4763 0
7 17.341 10.2512 0
8 20.8593 10.4662 0
9 24.3982 10.1718 0
10 27.8645 10.3536 0
11 31.4426 10.0871 0
12 35.0717 9.79228 0
13 38.5678 10.0273 0
14 42.1449 9.93673 0
15 45.5981 10.3726 0
16 49.1298 10.0774 0
17 52.7015 10.203 0
18 56.2138 10.0663 0
19 59.8011 10.3961 0
20 63.291 10.0951 0
21 66.8726 10.3899 0
22 70.4211 10.2176 0
23 73.9214 10.4119 0
24 77.4125 10.0753 0
25 80.961 10.3444 0
26 84.4328 10.1895 0
27 87.99 10.5033 0
28 91.4516 10.1814 0
29 95.011 10.426 0
30 98.5545 10.1493 0
31 102.126 10.3415 0
32 105.706 10.1501 0
33 109.306 9.75408 0
34 112.785 10.0627 0
35 116.283 9.94105 0
36 119.693 9.79189 0
37 123.267 10.0693 0
38 126.807 10.4068 0
39 130.391 10.2731 0
40 134.046 10.0923 0
41 137.541 10.1245 0
42 141.14 10.4702 0
43 144.588 10.3695 0
44 148.026 10.4461 0
45 151.559 10.2073 0
46 155.079 10.4195 0
47 158.621 10.2683 0
48 162.137 10.1647 0
49 -5.53255 12.7304 0
50 -2.00249 12.9944 0
51 1.61173 12.8698 0
52 5.0894 13.0868 0
53 8.62484 12.9025 0
54 12.1823 13.1884 0
55 15.7303 13.0005 0
56 19.2783 13.1719 0
57 22.7961 12.8963 0
58 26.3516 13.1221 0
59 29.9153 12.8842 0
60 33.4467 12.4797 0
61 36.9913 12.7376 0
62 40.4827 12.6645 0
63 44.0046 13.1033 0
64 47.642 12.8674 0
65 51.1384 12.9569 0
66 54.6226 12.861 0
67 58.1005 13.138 0
68 61.795 12.8806 0
69 65.3225 13.2759 0
70 68.8476 12.9073 0
71 72.3513 13.1706 0
72 75.8246 12.8445 0
73 79.3009 13.1002 0
74 82.8778 12.9202 0
75 86.4 13.1601 0
76 89.9341 12.9065 0
77 93.4825 13.197 0
78 96.9478 12.9155 0
79 100.574 13.123 0
80 104.094 12.9163 0
81 107.692 12.5961 0
82 111.246 12.8954 0
83 114.716 12.6504 0
84 118.113 12.5876 0
85 121.598 12.8129 0
86 125.141 13.103 0
87 128.707 12.9824 0
88 132.335 12.7956 0
89 135.944 12.9747 0
90 139.43 13.1586 0
91 142.942 13.0604 0
92 146.532 13.2898 0
93 150.019 12.999 0
94 153.479 13.2716 0
95 156.952 12.9301 0
96 160.559 12.9125 0
97 -3.97852 15.6491 0
98 -0.427329 15.7725 0
99 3.13828 15.6557 0
100 6.71178 15.7735 0
101 10.2339 15.7028 0
102 13.7868 15.991 0
103 17.397 15.774 0
104 20.9296 15.976 0
105 24.4635 15.5867 0
106 28.0137 15.9214 0
107 31.5731 15.6134 0
108 35.0204 15.2946 0
109 38.574 15.5355 0
110 42.0378 15.5434 0
111 45.6214 15.8432 0
112 49.1815 15.6529 0
113 52.6609 15.8114 0
114 56.2 15.5994 0
115 59.7547 15.9663 0
116 63.2983 15.7376 0
117 66.901 15.9866 0
118 70.4022 15.7219 0
119 73.9632 15.873 0
120 77.4352 15.6391 0
121 80.942 15.8491 0
122 84.4885 15.7158 0
123 87.9978 15.9509 0
124 91.5302 15.678 0
125 95.0668 15.9673 0
126 98.5895 15.7067 0
127 102.152 15.8576 0
128 105.684 15.6389 0
129 109.209 15.3964 0
130 112.821 15.7546 0
131 116.227 15.5082 0
132 119.673 15.471 0
133 123.172 15.5278 0
134 126.796 15.7697 0
135 130.316 15.7751 0
136 133.942 15.5408 0
137 137.481 15.8002 0
138 140.991 16.0126 0
139 144.624 15.7772 0
140 148.133 15.9592 0
141 151.675 15.8338 0
142 155.183 15.9627 0
143 158.591 15.6153 0
144 162.064 15.7141 0
145 -5.59345 18.3868 0
146 -1.99236 18.6335 0
147 1.48172 18.3892 0
148 5.0927 18.5938 0
149 8.55838 18.4349 0
150 12.2014 18.75 0
151 15.6979 18.439 0
152 19.2802 18.6526 0
153 22.9241 18.3425 0
154 26.3614 18.6394 0
155 29.9232 18.372 0
156 33.4682 18.1196 0
157 37.0192 18.2211 0
158 40.4834 18.2742 0
159 44.0315 18.6012 0
160 47.5364 18.319 0
161 51.0598 18.5849 0
162 54.5437 18.3142 0
163 58.0566 18.6624 0
164 61.6377 18.4193 0
165 65.2333 18.7354 0
166 68.8657 18.5379 0
167 72.3094 18.5283 0
168 75.8952 18.3821 0
169 79.3828 18.6227 0
170 82.8017 18.378 0
171 86.3723 18.7399 0
172 89.9285 18.4668 0
173 93.4521 18.6736 0
174 96.9184 18.4899 0
175 100.457 18.6331 0
176 104.016 18.4278 0
177 107.602 18.1676 0
178 111.135 18.4556 0
179 114.719 18.3311 0
180 118.151 18.2482 0
181 121.681 18.3456 0
182 125.299 18.5902 0
183 128.742 18.5366 0
184 132.316 18.2705 0
185 135.894 18.5542 0
186 139.407 18.7864 0
187 143.027 18.4869 0
188 146.581 18.7446 0
