# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_center[1] c_center[2] c_center[3]
4000 2496
1 3.15486 -0.0697381 0
2 6.79728 0.0133749 0
3 10.4802 0.106743 0
4 14.1643 0.20442 0
5 17.8538 0.23541 0
6 21.5993 0.305354 0
7 25.2822 0.394289 0
8 29.0124 0.393489 0
9 32.6936 0.544682 0
10 36.4476 0.599192 0
11 40.2117 0.710423 0
12 43.8785 0.666707 0
13 47.5671 0.785709 0
14 51.2656 0.913028 0
15 54.944 0.853295 0
16 58.677 0.910134 0
17 62.3851 0.919972 0
18 66.1139 0.947677 0
19 69.8049 1.0625 0
20 73.5348 1.07584 0
21 77.3242 1.21409 0
22 80.9915 1.25273 0
23 84.6955 1.28248 0
24 88.3746 1.43285 0
25 92.1223 1.533 0
26 95.8094 1.54364 0
27 99.5331 1.58953 0
28 103.198 1.67495 0
29 106.859 1.7161 0
30 110.512 1.81754 0
31 114.246 1.88167 0
32 118.017 1.94457 0
33 121.641 2.03828 0
34 125.399 2.00517 0
35 129.044 2.17197 0
36 132.795 2.21006 0
37 136.439 2.2439 0
38 140.171 2.30428 0
39 143.993 2.38131 0
40 147.675 2.43126 0
41 151.387 2.45194 0
42 155.136 2.63502 0
43 158.809 2.67848 0
44 162.421 2.76619 0
45 166.144 2.86371 0
46 169.913 2.85477 0
47 173.656 2.87224 0
48 177.363 3.00194 0
49 1.16704 3.05942 0
50 4.84215 3.14449 0
51 8.55744 3.26759 0
52 12.3028 3.3623 0
53 15.9953 3.3956 0
54 19.7258 3.48408 0
55 23.4102 3.5649 0
56 27.1 3.69374 0
57 30.7691 3.69915 0
58 34.4921 3.7947 0
59 38.1568 3.86544 0
60 41.9221 3.96478 0
61 45.6733 3.92851 0
62 49.3667 3.97424 0
63 53.0973 4.08456 0
64 56.7575 4.09602 0
65 60.4761 4.15667 0
66 64.1106 4.09511 0
67 67.8705 4.21291 0
68 71.5373 4.18238 0
69 75.3597 4.3623 0
70 79.0359 4.36626 0
71 82.7652 4.54749 0
72 86.4606 4.56742 0
73 90.1416 4.64396 0
74 93.8404 4.71201 0
75 97.5512 4.83524 0
76 101.259 4.86845 0
77 104.969 4.92914 0
78 108.638 5.0345 0
79 112.307 5.09028 0
80 116.043 5.13897 0
81 119.771 5.15899 0
82 123.448 5.25261 0
83 127.184 5.3305 0
84 130.866 5.44889 0
85 134.533 5.43275 0
86 138.304 5.47181 0
87 142.07 5.5696 0
88 145.743 5.68851 0
89 149.455 5.72567 0
90 153.221 5.76908 0
91 156.916 5.84458 0
92 160.582 6.00116 0
93 164.27 6.01956 0
94 167.981 6.00462 0
95 171.677 6.12633 0
96 175.436 6.15315 0
97 -0.775541 6.25969 0
98 2.87738 6.35193 0
99 6.61366 6.43348 0
100 10.3497 6.54784 0
101 14.1074 6.59708 0
102 17.7742 6.66209 0
103 21.4305 6.7741 0
104 25.187 6.83347 0
105 28.8567 6.84855 0
106 32.532 6.95597 0
107 36.2971 7.0511 0
108 39.9428 7.06143 0
109 43.7594 7.09958 0
110 47.4896 7.14059 0
111 51.1857 7.17129 0
112 54.862 7.29963 0
113 58.4888 7.38507 0
114 62.1896 7.39615 0
115 65.9538 7.40723 0
116 69.6888 7.45977 0
117 73.3172 7.47491 0
118 77.1043 7.54681 0
119 80.7377 7.65632 0
120 84.5047 7.81004 0
121 88.2071 7.8723 0
122 91.9076 7.9537 0
123 95.6074 8.04306 0
124 99.318 8.0034 0
125 103.045 8.11195 0
126 106.667 8.14187 0
127 110.425 8.22374 0
128 114.063 8.29286 0
129 117.832 8.29325 0
130 121.486 8.37831 0
131 125.21 8.49181 0
132 128.938 8.48769 0
133 132.69 8.57884 0
134 136.451 8.65158 0
135 140.073 8.76604 0
136 143.847 8.82655 0
137 147.572 8.92399 0
138 151.236 8.91929 0
139 154.937 8.98759 0
140 158.637 9.13305 0
141 162.38 9.18876 0
142 166.07 9.23377 0
143 169.704 9.24875 0
144 173.416 9.39872 0
145 -2.6606 9.42746 0
146 1.02613 9.50512 0
147 4.69066 9.60325 0
148 8.41635 9.71107 0
149 12.0928 9.75751 0
150 15.8357 9.82366 0
151 19.513 9.90871 0
152 23.215 10.0241 0
153 26.9807 10.0198 0
154 30.6577 10.0994 0
155 34.355 10.1685 0
156 38.0613 10.2044 0
157 41.7612 10.2878 0
158 45.5436 10.3304 0
